ID,Tribe,Spp,Strategy,Shell,GR,Mass,C,Ca,K,N,P,B,Cu,Fe,Mn,Mg,Zn,CN,CP,NP,All1,Bulk2,Bulk3,Trace1,Trace2,Trace3
Apli1,Amblemini,A.plicata,Equilibrium,UD,0.074,97.2,143.1,3790,0.42493,12.4,0.37913,0.03562,0.02545,1.19084,1.51272,0.743,0.02799,2.445847214,5.933419811,3.487572597,3.966645399,-7.822905255,-27.6303568,-0.822005327,-0.539845465,0.611352175
Apli2,Amblemini,A.plicata,Equilibrium,UD,0.074,51.1,141.8,3466,0.08878,11.7,0.29789,0.02317,0.03578,0.31614,0.85533,0.05502,0.00925,2.494828772,6.165448602,3.67061983,4.086707057,-7.635469715,-28.08545927,1.884208311,2.147926329,-1.829950151
Apli4,Amblemini,A.plicata,Equilibrium,UD,0.074,72.1,137.8,3413,0.07073,10.8,0.08406,0.01827,0.02953,0.22357,0.93476,0.03741,0.01505,2.546257224,7.402027808,4.855770584,4.060927235,-7.677029499,-31.83479242,2.998333924,3.109999196,-2.786295131
Apli5,Amblemini,A.plicata,Equilibrium,UD,0.074,68.9,132.4,2763,0.0375,7.6,0.09241,0.00399,0.01321,0.07347,0.66032,0.03086,0.00179,2.857679396,7.267347725,4.409668328,4.096002418,-7.305546621,-30.91682227,4.745936562,4.541031981,-4.205421514
Apli6,Amblemini,A.plicata,Equilibrium,UD,0.074,92.8,137.3,2672,0.04744,9.5,0.11894,0.00554,0.01166,0.1118,1.98499,0.04976,0.00705,2.670876514,7.051304427,4.380427913,3.810138475,-7.107374978,-30.05921543,6.699538378,6.061038252,-5.882940708
Casp1,Quadrulini,C.asperata,Equilibrium,General,0.152,9,130.8,3536,0.13171,8,0.17264,0.03058,0.01325,1.50031,1.40236,0.06553,0.02189,2.794227897,6.630216216,3.835988319,3.967776235,-7.930966325,-29.78203229,-0.428167526,-0.228715743,0.271618196
Casp2,Quadrulini,C.asperata,Equilibrium,General,0.152,12.6,126.4,3668,0.14314,5.9,0.15756,0.02092,0.01178,0.38495,0.75253,0.05845,0.02426,3.064499131,6.687400423,3.622901292,4.129736183,-8.138213474,-30.1661865,1.154317946,1.269411641,-1.171449536
Casp3,Quadrulini,C.asperata,Equilibrium,General,0.152,12,133.4,3530,0.11792,8.4,0.15694,0.01503,0.01081,0.98123,0.74448,0.04085,0.02482,2.765120428,6.745243846,3.980123418,4.124044985,-7.874407492,-30.06294757,-1.033183173,-0.751461034,0.81124157
Casp4,Quadrulini,C.asperata,Equilibrium,General,0.152,19,138.6,3844,0.17306,11.1,0.21684,0.03669,0.00822,1.2526,1.75231,0.25162,0.02047,2.524646978,6.460187611,3.935540633,3.932436651,-7.950399255,-29.34875658,0.311449729,0.402818382,-0.378419012
Casp5,Quadrulini,C.asperata,Equilibrium,General,0.152,21,136.3,3474,0.13405,10.1,0.15667,0.01307,0.00857,0.61218,1.89645,0.0552,0.0086,2.602322915,6.768471935,4.16614902,3.88706291,-7.75705153,-30.02015367,2.82860943,2.554625978,-2.512798012
Casp6,Quadrulini,C.asperata,Equilibrium,General,0.152,20.4,131.1,2728,0.07207,7.8,0.09254,0.00595,0.00583,0.15597,1.33978,0.03516,0.00728,2.821836657,7.256074686,4.434238029,3.916276775,-7.293674408,-30.87440074,5.238950795,4.69978493,-4.618258464
Fcer1,Pleurobemini,F.cerina,Equilibrium,Unsculp,0.173,17,130.3,3140,0.14351,8.5,0.19806,0.00604,0.00797,0.49226,4.48347,0.10795,0.09152,2.729773321,6.489024748,3.759251427,3.631846596,-7.640087853,-29.01363291,5.229494981,4.585632951,-4.55322708
Fcer2,Pleurobemini,F.cerina,Equilibrium,Unsculp,0.173,26.9,134.7,4036,0.1194,7.5,0.1984,0.01736,0.00406,0.4642,1.16064,0.21039,0.01071,2.888147063,6.520520168,3.632373105,4.046951794,-8.19563408,-29.76154005,1.403160941,1.335357115,-1.312460446
Fcer3,Pleurobemini,F.cerina,Equilibrium,Unsculp,0.173,19.8,129,1590,0.03967,7.2,0.09005,0.00285,0.00352,0.16547,1.51449,0.03253,0.13138,2.885731378,7.267202612,4.381471233,3.752031078,-6.019489954,-29.33671873,4.260932669,3.747276301,-3.715562249
Fcer4,Pleurobemini,F.cerina,Equilibrium,Unsculp,0.173,12.9,128,3200,0.08691,6.6,0.28435,0.01053,0.01614,0.90946,0.76697,0.02977,0.07893,2.964960615,6.109579669,3.144619054,4.093370293,-7.761734115,-27.98545783,-0.874441577,-0.610222758,0.69907581
Fcer5,Pleurobemini,F.cerina,Equilibrium,Unsculp,0.173,11.4,129.6,2779,0.05133,6.3,0.08276,0.00457,0.00783,0.13291,0.9053,0.02374,0.00404,3.023903151,7.35626321,4.33236006,4.019249947,-7.392499685,-31.26503091,4.679504522,4.267974998,-4.130445453
Fcer6,Pleurobemini,F.cerina,Equilibrium,Unsculp,0.173,15.3,119.8,2917,0.03937,NA,0.0515,0.00146,0.00114,0.93799,0.92516,0.01842,0.00203,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lorn1,Lampsilini,L.ornata,Periodic,Unsculp,0.382,25.8,126.8,3644,0.10605,5.5,0.09722,0.00529,0.00604,0.21657,1.0128,0.04276,0.01953,3.13786295,7.173389869,4.03552692,4.055591662,-8.12206945,-31.59493992,3.535359026,3.186513985,-3.119536297
Lorn2,Lampsilini,L.ornata,Periodic,Unsculp,0.382,11.5,124.3,4103,0.11428,4.4,0.05872,0.0068,0.00278,0.16689,0.73268,0.20579,0.00573,3.341093458,7.657672893,4.316579436,4.162099921,-8.480211239,-33.46343429,1.798114501,1.650273468,-1.623152659
