ID,Tribe,Spp,Strategy,Shell,GR,Mass,Length,LM,C,N,P,Ca,K,B,Cu,Fe,Mn,Mg,Zn,Fv,CN,CP,NP,All1,Bulk2,Bulk3,Trace2,Trace3
Apli1,Amblemini,A.plicata,Equilibrium,UD,0.074,97.2,73.39782535,0.75512166,143.1,12.4,0.37913,379,0.42493,0.03562,0.02545,1.19084,1.51272,0.743,0.02799,461.16032,1.105858764,1.722413976,1.320525009,2.212219364,-1.784022065,10.22156124,-0.365256433,6.150402243
Apli2,Amblemini,A.plicata,Equilibrium,UD,0.074,51.1,58.60670635,1.146902277,141.8,11.7,0.29789,346.6,0.08878,0.02317,0.03578,0.31614,0.85533,0.05502,0.00925,498.21864,1.116877069,1.755768863,1.354736105,2.30447506,-1.629453846,10.46824317,1.53487665,5.601522895
Apli4,Amblemini,A.plicata,Equilibrium,UD,0.074,72.1,66.11155049,0.916942448,137.8,10.8,0.08406,341.3,0.07073,0.01827,0.02953,0.22357,0.93476,0.03741,0.01505,508.68662,1.12833001,1.92380194,1.558167286,2.284484488,-1.663421878,12.2303081,2.290524782,5.921649518
Apli5,Amblemini,A.plicata,Equilibrium,UD,0.074,68.9,65.06938884,0.944403321,132.4,7.6,0.09241,276.3,0.0375,0.00399,0.01321,0.07347,0.66032,0.03086,0.00179,582.78645,1.195340829,1.906219783,1.4848684,2.317873481,-1.359961044,11.87161783,3.234826066,7.402937546
Apli6,Amblemini,A.plicata,Equilibrium,UD,0.074,92.8,72.21739051,0.778204639,137.3,9.5,0.11894,267.2,0.04744,0.00554,0.01166,0.1118,1.98499,0.04976,0.00705,583.66282,1.155611638,1.87767202,1.479937146,2.109720052,-1.198207709,11.50008467,4.361085972,8.407573124
Casp1,Quadrulini,C.asperata,Equilibrium,General,0.152,9,28.08841955,3.120935505,130.8,8,0.17264,353.6,0.13171,0.03058,0.01325,1.50031,1.40236,0.06553,0.02189,504.26173,1.181995748,1.820743834,1.384916662,2.210780167,-1.871009393,11.22808888,-0.148119663,6.455988835
Casp2,Quadrulini,C.asperata,Equilibrium,General,0.152,12.6,31.70541165,2.516302512,126.4,5.9,0.15756,366.8,0.14314,0.02092,0.01178,0.38495,0.75253,0.05845,0.02426,499.34641,1.237840687,1.828578741,1.345901425,2.327144999,-2.040269666,11.38281222,0.997226315,5.695119218
Casp3,Quadrulini,C.asperata,Equilibrium,General,0.152,12,31.15338546,2.596115455,133.4,8.4,0.15694,353,0.11792,0.01503,0.01081,0.98123,0.74448,0.04085,0.02482,503.10792,1.175823207,1.836469962,1.41069547,2.327721123,-1.824768876,11.36875399,-0.467931037,6.737005053
Casp4,Quadrulini,C.asperata,Equilibrium,General,0.152,19,36.75795116,1.934629008,138.6,11.1,0.21684,384.4,0.17306,0.03669,0.00822,1.2526,1.75231,0.25162,0.02047,462.18819,1.123531704,1.797246173,1.402772368,2.183901372,-1.887000985,11.01414552,0.29254427,6.243754396
Casp5,Quadrulini,C.asperata,Equilibrium,General,0.152,21,38.10648987,1.814594756,136.3,10.1,0.15667,347.4,0.13405,0.01307,0.00857,0.61218,1.89645,0.0552,0.0086,503.31521,1.140684644,1.839629302,1.443286011,2.153320374,-1.729040089,11.36331696,1.824529185,7.444411135
